,log message,log key,parameter value vector
522,10 18 18:03:55 Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000006 taskAttempt attempt_1445144423722_0020_m_000004_0,Processing the event EventType: <*> for container container_<*>_<*>_<*>_<*> taskAttempt attempt_<*>_<*>_m_<*>_<*>,"[0, 'CONTAINER_REMOTE_LAUNCH', '1445144423722', '0020', '01', '000006', '1445144423722', '0020', '000004', '0']"
523,10 18 18:03:55 Launching attempt_1445144423722_0020_m_000004_0,Launching attempt_<*>_<*>_m_<*>_<*>,"[0, '1445144423722', '0020', '000004', '0']"
524,10 18 18:03:55 Opening proxy : MSRA-SA-41.fareast.corp.microsoft.com:7109,Opening proxy : <*>,"[0, 'MSRA-SA-41.fareast.corp.microsoft.com:7109']"
525,10 18 18:03:55 Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000007 taskAttempt attempt_1445144423722_0020_m_000005_0,Processing the event EventType: <*> for container container_<*>_<*>_<*>_<*> taskAttempt attempt_<*>_<*>_m_<*>_<*>,"[0, 'CONTAINER_REMOTE_LAUNCH', '1445144423722', '0020', '01', '000007', '1445144423722', '0020', '000005', '0']"
526,10 18 18:03:55 Launching attempt_1445144423722_0020_m_000005_0,Launching attempt_<*>_<*>_m_<*>_<*>,"[0, '1445144423722', '0020', '000005', '0']"
527,10 18 18:03:55 Opening proxy : MSRA-SA-41.fareast.corp.microsoft.com:7109,Opening proxy : <*>,"[0, 'MSRA-SA-41.fareast.corp.microsoft.com:7109']"
528,10 18 18:03:55 Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000004_0 : 13562,Shuffle port returned by ContainerManager for attempt_<*>_<*>_m_<*>_<*> : <*>,"[0, '1445144423722', '0020', '000004', '0', '13562']"
529,10 18 18:03:55 TaskAttempt: [attempt_1445144423722_0020_m_000004_0] using containerId: [container_1445144423722_0020_01_000006 on NM: [MSRA-SA-41.fareast.corp.microsoft.com:7109],TaskAttempt: [attempt_<*>_<*>_m_<*>_<*>] using containerId: [container_<*>_<*>_<*>_<*> on NM: <*>,"[0, '1445144423722', '0020', '000004', '0', '1445144423722', '0020', '01', '000006', '[MSRA-SA-41.fareast.corp.microsoft.com:7109]']"
530,10 18 18:03:55 attempt_1445144423722_0020_m_000004_0 TaskAttempt Transitioned from ASSIGNED to RUNNING,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000004', '0', 'ASSIGNED', 'RUNNING']"
531,10 18 18:03:55 ATTEMPT_START task_1445144423722_0020_m_000004,ATTEMPT_START task_<*>_<*>_m_<*>,"[0, '1445144423722', '0020', '000004']"
532,10 18 18:03:55 task_1445144423722_0020_m_000004 Task Transitioned from SCHEDULED to RUNNING,task_<*>_<*>_m_<*> Task Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000004', 'SCHEDULED', 'RUNNING']"
533,10 18 18:03:55 Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000005_0 : 13562,Shuffle port returned by ContainerManager for attempt_<*>_<*>_m_<*>_<*> : <*>,"[0, '1445144423722', '0020', '000005', '0', '13562']"
534,10 18 18:03:55 Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.5343203,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000003', '0', '0', '5343203']"
535,10 18 18:03:55 TaskAttempt: [attempt_1445144423722_0020_m_000005_0] using containerId: [container_1445144423722_0020_01_000007 on NM: [MSRA-SA-41.fareast.corp.microsoft.com:7109],TaskAttempt: [attempt_<*>_<*>_m_<*>_<*>] using containerId: [container_<*>_<*>_<*>_<*> on NM: <*>,"[0, '1445144423722', '0020', '000005', '0', '1445144423722', '0020', '01', '000007', '[MSRA-SA-41.fareast.corp.microsoft.com:7109]']"
536,10 18 18:03:55 attempt_1445144423722_0020_m_000005_0 TaskAttempt Transitioned from ASSIGNED to RUNNING,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000005', '0', 'ASSIGNED', 'RUNNING']"
537,10 18 18:03:55 ATTEMPT_START task_1445144423722_0020_m_000005,ATTEMPT_START task_<*>_<*>_m_<*>,"[0, '1445144423722', '0020', '000005']"
538,10 18 18:03:55 task_1445144423722_0020_m_000005 Task Transitioned from SCHEDULED to RUNNING,task_<*>_<*>_m_<*> Task Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000005', 'SCHEDULED', 'RUNNING']"
539,10 18 18:03:56 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.27776006,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000001', '0', '0', '27776006']"
540,10 18 18:03:56 Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.27696857,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000000', '0', '0', '27696857']"
541,"10 18 18:03:56 getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=1 finishedContainers=0 resourcelimit=<memory:0, vCores:-27> knownNMs=4","getResources() for application_<*>_<*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*>> knownNMs=<*>","[0, '1445144423722', '0020', '4', '0', '1', '0', '<', '0', '-27>', '4']"
542,10 18 18:03:56 Got allocated containers 1,Got allocated containers <*>,"[0, '1']"
543,10 18 18:03:56 Assigned container container_1445144423722_0020_01_000008 to attempt_1445144423722_0020_m_000006_0,Assigned container container_<*>_<*>_<*>_<*> to attempt_<*>_<*>_m_<*>_<*>,"[0, '1445144423722', '0020', '01', '000008', '1445144423722', '0020', '000006', '0']"
544,"10 18 18:03:56 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
545,10 18 18:03:56 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
546,10 18 18:03:56 After Scheduling: PendingReds:1 ScheduledMaps:3 ScheduledReds:0 AssignedMaps:7 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:7 ContRel:0 HostLocal:4 RackLocal:3,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,"[0, '1', '3', '0', '7', '0', '0', '0', '7', '0', '4', '3']"
547,10 18 18:03:56 Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-41.fareast.corp.microsoft.com']"
548,10 18 18:03:56 attempt_1445144423722_0020_m_000006_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000006', '0', 'UNASSIGNED', 'ASSIGNED']"
549,10 18 18:03:56 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.27772525,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000002', '0', '0', '27772525']"
550,10 18 18:03:56 Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000008 taskAttempt attempt_1445144423722_0020_m_000006_0,Processing the event EventType: <*> for container container_<*>_<*>_<*>_<*> taskAttempt attempt_<*>_<*>_m_<*>_<*>,"[0, 'CONTAINER_REMOTE_LAUNCH', '1445144423722', '0020', '01', '000008', '1445144423722', '0020', '000006', '0']"
551,10 18 18:03:56 Launching attempt_1445144423722_0020_m_000006_0,Launching attempt_<*>_<*>_m_<*>_<*>,"[0, '1445144423722', '0020', '000006', '0']"
552,10 18 18:03:56 Opening proxy : MSRA-SA-41.fareast.corp.microsoft.com:7109,Opening proxy : <*>,"[0, 'MSRA-SA-41.fareast.corp.microsoft.com:7109']"
553,10 18 18:03:56 Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000006_0 : 13562,Shuffle port returned by ContainerManager for attempt_<*>_<*>_m_<*>_<*> : <*>,"[0, '1445144423722', '0020', '000006', '0', '13562']"
554,10 18 18:03:56 TaskAttempt: [attempt_1445144423722_0020_m_000006_0] using containerId: [container_1445144423722_0020_01_000008 on NM: [MSRA-SA-41.fareast.corp.microsoft.com:7109],TaskAttempt: [attempt_<*>_<*>_m_<*>_<*>] using containerId: [container_<*>_<*>_<*>_<*> on NM: <*>,"[0, '1445144423722', '0020', '000006', '0', '1445144423722', '0020', '01', '000008', '[MSRA-SA-41.fareast.corp.microsoft.com:7109]']"
555,10 18 18:03:56 attempt_1445144423722_0020_m_000006_0 TaskAttempt Transitioned from ASSIGNED to RUNNING,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000006', '0', 'ASSIGNED', 'RUNNING']"
556,10 18 18:03:56 ATTEMPT_START task_1445144423722_0020_m_000006,ATTEMPT_START task_<*>_<*>_m_<*>,"[0, '1445144423722', '0020', '000006']"
557,10 18 18:03:56 task_1445144423722_0020_m_000006 Task Transitioned from SCHEDULED to RUNNING,task_<*>_<*>_m_<*> Task Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000006', 'SCHEDULED', 'RUNNING']"
558,10 18 18:03:57 Auth successful for job_1445144423722_0020 (auth:SIMPLE),Auth successful for job_<*>_<*> (auth:SIMPLE),"[1, '1445144423722', '0020']"
559,10 18 18:03:57 Auth successful for job_1445144423722_0020 (auth:SIMPLE),Auth successful for job_<*>_<*> (auth:SIMPLE),"[0, '1445144423722', '0020']"
560,10 18 18:03:57 JVM with ID : jvm_1445144423722_0020_m_000007 asked for a task,JVM with ID : jvm_<*>_<*>_m_<*> asked for a task,"[0, '1445144423722', '0020', '000007']"
561,10 18 18:03:57 JVM with ID : jvm_1445144423722_0020_m_000006 asked for a task,JVM with ID : jvm_<*>_<*>_m_<*> asked for a task,"[0, '1445144423722', '0020', '000006']"
562,10 18 18:03:57 JVM with ID: jvm_1445144423722_0020_m_000007 given task: attempt_1445144423722_0020_m_000005_0,JVM with ID: jvm_<*>_<*>_m_<*> given task: attempt_<*>_<*>_m_<*>_<*>,"[0, '1445144423722', '0020', '000007', '1445144423722', '0020', '000005', '0']"
563,10 18 18:03:57 JVM with ID: jvm_1445144423722_0020_m_000006 given task: attempt_1445144423722_0020_m_000004_0,JVM with ID: jvm_<*>_<*>_m_<*> given task: attempt_<*>_<*>_m_<*>_<*>,"[0, '1445144423722', '0020', '000006', '1445144423722', '0020', '000004', '0']"
564,"10 18 18:03:57 getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:0, vCores:-27> knownNMs=4","getResources() for application_<*>_<*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*>> knownNMs=<*>","[0, '1445144423722', '0020', '4', '0', '0', '0', '<', '0', '-27>', '4']"
565,"10 18 18:03:57 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
566,10 18 18:03:57 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
567,10 18 18:03:58 Auth successful for job_1445144423722_0020 (auth:SIMPLE),Auth successful for job_<*>_<*> (auth:SIMPLE),"[1, '1445144423722', '0020']"
568,10 18 18:03:58 JVM with ID : jvm_1445144423722_0020_m_000008 asked for a task,JVM with ID : jvm_<*>_<*>_m_<*> asked for a task,"[0, '1445144423722', '0020', '000008']"
569,10 18 18:03:58 JVM with ID: jvm_1445144423722_0020_m_000008 given task: attempt_1445144423722_0020_m_000006_0,JVM with ID: jvm_<*>_<*>_m_<*> given task: attempt_<*>_<*>_m_<*>_<*>,"[0, '1445144423722', '0020', '000008', '1445144423722', '0020', '000006', '0']"
570,"10 18 18:03:58 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
571,10 18 18:03:58 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
572,10 18 18:03:59 Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.5343203,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000003', '0', '0', '5343203']"
573,10 18 18:03:59 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.27776006,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000001', '0', '0', '27776006']"
574,"10 18 18:03:59 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
575,10 18 18:03:59 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
576,10 18 18:03:59 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.27772525,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000002', '0', '0', '27772525']"
577,10 18 18:04:00 Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.27696857,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000000', '0', '0', '27696857']"
578,"10 18 18:04:00 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
579,10 18 18:04:00 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
580,"10 18 18:04:01 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
581,10 18 18:04:01 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
582,10 18 18:04:02 Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.5806522,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000003', '0', '0', '5806522']"
583,"10 18 18:04:02 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
584,10 18 18:04:02 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
585,10 18 18:04:03 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.27776006,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000001', '0', '0', '27776006']"
586,10 18 18:04:03 Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.27772525,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000002', '0', '0', '27772525']"
587,10 18 18:04:03 Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.27696857,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000000', '0', '0', '27696857']"
588,"10 18 18:04:03 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
589,10 18 18:04:03 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
590,10 18 18:04:04 Progress of TaskAttempt attempt_1445144423722_0020_m_000005_0 is : 0.10685723,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000005', '0', '0', '10685723']"
591,10 18 18:04:04 Got allocated containers 1,Got allocated containers <*>,"[0, '1']"
592,10 18 18:04:04 Assigned container container_1445144423722_0020_01_000009 to attempt_1445144423722_0020_m_000007_0,Assigned container container_<*>_<*>_<*>_<*> to attempt_<*>_<*>_m_<*>_<*>,"[0, '1445144423722', '0020', '01', '000009', '1445144423722', '0020', '000007', '0']"
593,"10 18 18:04:04 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
594,10 18 18:04:04 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
595,10 18 18:04:04 After Scheduling: PendingReds:1 ScheduledMaps:2 ScheduledReds:0 AssignedMaps:8 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:8 ContRel:0 HostLocal:5 RackLocal:3,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,"[0, '1', '2', '0', '8', '0', '0', '0', '8', '0', '5', '3']"
596,10 18 18:04:04 Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-41.fareast.corp.microsoft.com']"
597,10 18 18:04:04 attempt_1445144423722_0020_m_000007_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000007', '0', 'UNASSIGNED', 'ASSIGNED']"
598,10 18 18:04:04 Progress of TaskAttempt attempt_1445144423722_0020_m_000004_0 is : 0.10680563,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000004', '0', '0', '10680563']"
599,10 18 18:04:04 Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000009 taskAttempt attempt_1445144423722_0020_m_000007_0,Processing the event EventType: <*> for container container_<*>_<*>_<*>_<*> taskAttempt attempt_<*>_<*>_m_<*>_<*>,"[0, 'CONTAINER_REMOTE_LAUNCH', '1445144423722', '0020', '01', '000009', '1445144423722', '0020', '000007', '0']"
600,10 18 18:04:04 Launching attempt_1445144423722_0020_m_000007_0,Launching attempt_<*>_<*>_m_<*>_<*>,"[0, '1445144423722', '0020', '000007', '0']"
601,10 18 18:04:04 Opening proxy : MSRA-SA-41.fareast.corp.microsoft.com:7109,Opening proxy : <*>,"[0, 'MSRA-SA-41.fareast.corp.microsoft.com:7109']"
602,10 18 18:04:05 Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.6199081,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[1, '1445144423722', '0020', '000003', '0', '0', '6199081']"
603,10 18 18:04:05 Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000007_0 : 13562,Shuffle port returned by ContainerManager for attempt_<*>_<*>_m_<*>_<*> : <*>,"[0, '1445144423722', '0020', '000007', '0', '13562']"
604,10 18 18:04:05 TaskAttempt: [attempt_1445144423722_0020_m_000007_0] using containerId: [container_1445144423722_0020_01_000009 on NM: [MSRA-SA-41.fareast.corp.microsoft.com:7109],TaskAttempt: [attempt_<*>_<*>_m_<*>_<*>] using containerId: [container_<*>_<*>_<*>_<*> on NM: <*>,"[0, '1445144423722', '0020', '000007', '0', '1445144423722', '0020', '01', '000009', '[MSRA-SA-41.fareast.corp.microsoft.com:7109]']"
605,10 18 18:04:05 attempt_1445144423722_0020_m_000007_0 TaskAttempt Transitioned from ASSIGNED to RUNNING,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000007', '0', 'ASSIGNED', 'RUNNING']"
606,10 18 18:04:05 ATTEMPT_START task_1445144423722_0020_m_000007,ATTEMPT_START task_<*>_<*>_m_<*>,"[0, '1445144423722', '0020', '000007']"
